desc,gpt4
ulcerative colitis,1.0
ulcerative colitis (chronic),1.0
ulceration of intestine,0.75
intestinal e.coli,0.1
escherichia coli,0.1
regional enteritis,0.0
irritable bowel syndrome,0.1
diarrhea,0.5
duodenal ulcer,0.0
enema set,0.65
intestinal infection,0.1
enterobacteriaceae,0.1
constipation,0.1
e. coli,0.0
anal and rectal conditions,0.5
bacterial enteritis,0.1
colon cancer,0.2
diverticulosis,0.1
colorectal resection,0.75
colonoscopy and biopsy,0.75
intestinal helminthiases,0.0
mesalamine,0.95
oligosaccharides,0.1
dinutuximab,0.0
other intestinal obstruction,0.25
diverticulitis,0.1
colorectal cancer,0.25
toxic gastroenteritis and colitis,0.5
viral enteritis,0.0
duoderm,0.1
unna flex,0.0
congenital anomalies of intestine,0.1
mucin clot,0.1
indomethacin,0.1
decubitus ulcer,0.0
epithelial cells,0.1
enterovirus identified,0.1
inspirease,0.0
flex-all,0.0
eosinophilic esophagitis,0.1
dextran,0.1
relugolix,0.0
fecal immunochemical test,0.25
alkaline phosphatase.intestinal/alkaline phosphatase.total,0.25
mucus,0.1
ulcer of esophagus,0.1
eosinophils,0.25
reflux esophagitis,0.0
other bowel diagnostic procedures,0.5
ej ab,0.0
eosinophil count,0.25
eosinophils - urine,0.05
transitional epithelia,0.05
ige,0.1
alvimopan,0.1
functional digestive disorders,0.1
absolute eosinophils,0.25
eosinophilia,0.1
renament,0.0
unit division,0.0
helminthiases,0.1
eosinophil,0.2
ictotest,0.0
inflammatory bowel disease ab panel,0.75
amerigel,0.1
entacapone,0.0
exploratory laparotomy,0.25
color,0.0
urinary incontinence,0.1
epithelial casts,0.05
ileostomy status,0.5
transitional cells,0.05
events counted,0.0
pouch,0.75
digestive congenital anomalies,0.1
eosinophils count,0.25
irrigator,0.1
ethynodiol,0.05
duodenitis,0.1
probiotic,0.65
amcinonide,0.05
alprostadil,0.05
specimen,0.0
product code,0.0
exenatide,0.0
specimen container,0.1
indwelling catheter,0.05
irinotecan,0.05
units ordered,0.0
gastric ulcer,0.0
umeclidinium,0.0
urinary amorphous sediments,0.0
aldolase,0.1
ascvd,0.0
cystitis,0.0
gastrointestinal complications,0.5
urinary obstruction,0.1
eucerin,0.0
inflammatory bowel disease and other gastroenteritis and colitis,0.75
vascular insufficiency of intestine,0.1
stomatitis and mucositis (ulcerative),0.1
chronic vascular insufficiency of intestine,0.1
acute vascular insufficiency of intestine,0.1
intestinal infection due to c. difficile,0.2
"peptic ulcer, site unspecified",0.0
angiodysplasia of intestine (without mention of hemorrhage),0.1
intestinal malabsorption (non-celiac),0.1
chronic ulcer of unspecified site,0.5
hemorrhage from gastrointestinal ulcer,0.4
stomatitis and mucositis,0.1
unstable angina (intermediate coronary syndrome),0.0
celiac disease,0.1
ulceration of the lower gi tract,0.75
polyarteritis nodosa,0.1
acute gastritis,0.0
acute pancreatitis,0.1
behcet's syndrome,0.1
urethral stricture (not specified as infectious),0.0
arteritis nos,0.1
atherosclerosis of native arteries of the extremities with intermittent claudication,0.0
peptic ulcer (excl. esophageal),0.0
sicca syndrome,0.1
impaction of intestine,0.2
benign neoplasm of colon,0.0
noninfectious gastroenteritis,0.5
acute cystitis,0.0
urticaria,0.1
giant cell arteritis,0.05
hemorrhoids,0.1
corneal ulcer,0.0
ischemic heart disease,0.0
chronic ulcer of skin,0.1
inflammatory and toxic neuropathy,0.1
"inflammatory disease of cervix, vagina, and vulva",0.0
gerd,0.1
acute appendicitis,0.05
heartburn,0.1
"gastritis and duodenitis, nos",0.1
paralytic ileus,0.2
abdominal pain,0.4
appendicitis,0.0
other disorders of intestine,0.5
takayasu's disease,0.1
phosphatase alkaline intestine,0.1
renal colic,0.0
stricture of artery,0.0
upper gastrointestinal congenital anomalies,0.0
uri kleen,0.0
periodontitis (acute or chronic),0.1
"acute, but ill-defined cerebrovascular disease",0.0
carditis,0.1
