desc,gpt4
primary pulmonary hypertension,1.0
chronic pulmonary heart disease,0.65
pulmonary heart disease,0.7
treprostinil,1.0
ambrisentan,1.0
bosentan,0.85
epoprostenol,1.0
postinflammatory pulmonary fibrosis,0.1
disease of tricuspid valve,0.25
sildenafil,1.0
metolazone,0.1
pathologist interpretation,0.1
cardiac shunt/ heart septal defect,0.65
cardiac congenital anomalies,0.25
congenital anomalies of great vessels,0.3
methemoglobin/hemoglobin.total,0.1
methemoglobin,0.1
congestive heart failure (chf) nos,0.25
radioisotope pulmonary scan,0.25
cardiac and circulatory congenital anomalies,0.25
other dyspnea,0.25
nonrheumatic tricuspid valve disorders,0.25
chlorothiazide,0.1
heart failure nos,0.4
diagnostic ultrasound of heart (echocardiogram),0.85
congenital anomalies of abdominal wall; diaphram,0.05
torsemide,0.25
milrinone,0.85
shortness of breath,0.65
congestive heart failure; nonhypertensive,0.2
other alveolar and parietoalveolar pneumonopathy,0.1
cardiomegaly,0.3
idiopathic fibrosing alveolitis,0.1
rheumatic disease of the heart valves,0.1
bumetanide,0.25
carbon dioxide,0.1
ph,1.0
oxygen,0.2
"diagnostic cardiac catheterization, coronary arteriography",0.2
furosemide,0.2
interstitial emphysema and related conditions of newborn,0.05
dobutamine,0.3
extracorporeal circulation auxiliary to open heart procedures,0.1
mitral valve stenosis and aortic valve stenosis,0.2
systemic sclerosis,0.65
cotinine,0.05
pulmonary congestion and hypostasis,0.25
xenon-133,0.05
valvular heart disease/ heart chambers,0.25
slide review wbc (group:msrw),0.05
digoxin,0.1
nicotine,0.1
dopamine,0.1
dependence on respirator [ventilator] or supplemental oxygen,0.65
conivaptan,0.2
other diseases of lung,0.25
adenosine,0.2
other symptoms of respiratory system,0.25
nonrheumatic mitral valve disorders,0.1
centromere ab,0.05
abnormal results of function study of pulmonary system,0.65
calcium.ionized,0.05
natriuretic peptide.b prohormone n-terminal,0.25
nonrheumatic pulmonary valve disorders,0.25
other diagnostic procedures on lung and bronchus,0.25
chronic passive congestion of liver,0.1
fluid overload,0.25
arginine,0.1
base excess,0.05
heart failure with preserved ef [diastolic heart failure],0.3
bicarbonate,0.1
primary/intrinsic cardiomyopathies,0.25
swan-ganz catheterization for monitoring,0.85
cardiomyopathy,0.25
amiodarone,0.1
spironolactone,0.5
inhaled o2 flow rate,0.25
lung disease due to external agents,0.2
sarcoidosis,0.2
hypotension nos,0.25
chloride,0.0
extrinsic allergic alveolitis,0.1
respiratory conditions of fetus and newborn,0.1
potassium chloride,0.01
sodium acetate,0.05
pt (poc) (group:pt-poc),0.0
potassium,0.05
inr,0.0
raynaud's syndrome,0.1
cefotaxime,0.0
hypertrophic obstructive cardiomyopathy,0.2
sodium,0.05
emphysema,0.2
anabasine,0.0
nornicotine,0.05
heart valve disorders,0.2
tadalafil,1.0
hypoventilation,0.2
acute rheumatic heart disease,0.1
asphyxia and hypoxemia,0.25
atrial flutter,0.1
mitral valve disease,0.2
b-type natriuretic peptide,0.25
orthopnea,0.65
nonrheumatic aortic valve disorders,0.1
atrial fibrillation and flutter,0.2
heart failure with reduced ef [systolic or combined heart failure],0.45
acute pulmonary heart disease,0.6
