desc,gpt4
rheumatoid arthritis and other inflammatory polyarthropathies,1.0
rheumatoid arthritis,1.0
juvenile rheumatoid arthritis,1.0
leflunomide,1.0
methotrexate,1.0
etanercept,1.0
abatacept,1.0
arthrocentesis,0.65
hydroxychloroquine,0.85
psoriatic arthropathy,0.75
c reactive protein,0.25
cyclic citrullinated peptide ab,0.85
other arthropathies,0.5
tocilizumab,1.0
"osteoarthrosis, generalized",0.1
osteoarthrosis,0.1
erythrocyte sedimentation rate,0.25
sulfasalazine,0.85
unspecified polyarthropathy or polyarthritis,0.85
arthropathy nos,0.65
tofacitinib,1.0
cyclic citrullinated peptide igg,0.85
osteoarthritis; localized,0.1
golimumab,1.0
pain in joint,0.25
synovitis and tenosynovitis,0.85
osteoarthrosis nos,0.1
enthesopathy,0.45
naproxen,0.25
infliximab,1.0
peripheral enthesopathies and allied syndromes,0.45
sicca syndrome,0.25
rheumatoid factor,0.85
osteoporosis,0.1
adalimumab,1.0
"other disorders of synovium, tendon, and bursa",0.45
prednisone,0.75
polymyalgia rheumatica,0.25
myalgia and myositis unspecified,0.2
osteoporosis nos,0.1
"osteoarthrosis, localized, primary",0.1
joint effusions,0.75
crp (mg/l) (group:crpt),0.2
tolmetin,0.85
alendronate,0.1
psoriasis,0.2
folic acid,0.05
"rheumatism, unspecified and fibrositis",0.25
"osteoporosis, osteopenia and pathological fracture",0.1
nabumetone,0.75
ankylosing spondylitis,0.4
crystals,0.1
hammer toe (acquired),0.1
acquired toe deformities,0.25
acquired foot deformities,0.25
psoriasis and related disorders,0.2
other inflammatory spondylopathies,0.25
tramadol,0.1
loratadine,0.0
lupus (localized and systemic),0.2
systemic lupus erythematosus,0.25
smith extractable nuclear ab,0.2
hallux valgus (bunion),0.1
stiffness of joint,0.65
piroxicam,0.75
rheumatic fever / chorea,0.1
unspecified monoarthritis,0.25
diclofenac,0.75
sjogrens syndrome-b extractable nuclear ab,0.65
palindromic rheumatism,0.85
sjogrens syndrome-a extractable nuclear ab,0.65
anakinra,1.0
reiter's disease,0.85
dna double strand ab,0.1
dna double strand,0.05
unspecified diffuse connective tissue disease,0.65
osteopenia or other disorder of bone and cartilage,0.25
"osteoarthrosis, localized, secondary",0.1
celecoxib,0.85
other peripheral nerve disorders,0.1
meloxicam,0.2
raynaud's syndrome,0.25
acetaminophen / hydrocodone,0.1
nuclear ab,0.1
erythematous conditions,0.25
toxic maculopathy of retina,0.05
complication of internal orthopedic device,0.1
other or therapeutic procedures on joints,0.45
spondylosis and allied disorders,0.1
duloxetine,0.1
elevated sedimentation rate,0.65
calcaneal spur; exostosis nos,0.1
spondylosis without myelopathy,0.1
other specified osteoporosis,0.1
amitriptyline,0.1
other disorders of bone and cartilage,0.2
oxaprozin,0.85
cyclobenzaprine,0.1
other specified diffuse diseases of connective tissue,0.45
bunionectomy or repair of toe deformities,0.1
cyclic citrullinated peptide antibody,0.85
c-reactive protein,0.25
diffuse diseases of connective tissue,0.65
scleritis and episcleritis,0.25
certolizumab pegol,1.0
crystal arthropathies,0.25
human leukocyte antigen b27 ,0.3
chondrocalcinosis,0.2
auranofin,0.85
postinflammatory pulmonary fibrosis,0.1
risedronate,0.1
other alveolar and parietoalveolar pneumonopathy,0.05
other immunological findings,0.25
cutaneous lupus erythematosus,0.1
arteritis nos,0.4
mitogen stimulated gamma interferon,0.1
pain in limb,0.25
giant cell arteritis,0.1
villonodular synovitis,0.65
arthropathy associated with infections,0.1
bursitis,0.2
polyarteritis nodosa and allied conditions,0.65
mycobacterium tuberculosis stimulated gamma interferon,0.05
"uveitis, noninfectious or nos",0.25
