desc,gpt4
regional enteritis,1.0
bacterial enteritis,0.25
viral enteritis,0.0
intestinal e.coli,0.2
congenital anomalies of intestine,0.1
intestinal infection,0.2
duodenitis,0.25
irritable bowel syndrome,0.1
duoderm,0.0
ulceration of intestine,0.75
other bowel diagnostic procedures,0.5
intestinal helminthiases,0.1
escherichia coli,0.2
e. coli,0.1
diverticulosis,0.0
peritoneal or intestinal adhesions,0.4
diarrhea,0.5
diverticulitis,0.1
enterobacteriaceae,0.1
duodenal ulcer,0.1
other intestinal obstruction,0.4
ulcerative colitis,0.0
enema set,0.1
alkaline phosphatase.intestinal/alkaline phosphatase.total,0.1
other disorders of intestine,0.5
digestive congenital anomalies,0.1
enteral and parenteral nutrition,0.5
toxic gastroenteritis and colitis,0.25
colorectal resection,0.65
other gastrointestinal diagnostic procedures,0.5
inflammatory bowel disease ab panel,0.75
small bowel resection,0.75
paralytic ileus,0.25
lower gastrointestinal congenital anomalies,0.1
ileostomy and other enterostomy,0.5
functional digestive disorders,0.1
"dressing,duoderm",0.1
constipation,0.1
gastrointestinal pathogen,0.25
rotavirus source,0.1
oligosaccharides,0.0
reflux esophagitis,0.0
exploratory laparotomy,0.25
impaction of intestine,0.2
alvimopan,0.1
gastrointestinal complications,0.5
colonoscopy and biopsy,0.75
intestinal malabsorption (non-celiac),0.25
relugolix,0.0
colorectal cancer,0.0
enterococcus,0.1
anal and rectal conditions,0.2
rotavirus vaccine,0.0
benign neoplasm of colon,0.0
colistimethate,0.05
colon cancer,0.0
nutren,0.0
reflexed microorganism culture,0.1
fecal immunochemical test,0.25
eating disorder,0.0
celiac disease,0.1
dextran,0.0
diagnostic ultrasound of gastrointestinal tract,0.5
calprotectin,0.75
probiotic,0.25
mecasermin,0.0
peritonitis and retroperitoneal infections,0.25
rotavirus ag,0.1
lymphadenitis,0.1
lactase,0.1
helminthiases,0.1
other or gastrointestinal therapeutic procedures,0.5
symptoms involving digestive system,0.2
lactulose,0.1
irrigation sleeve,0.05
eribulin,0.0
mesalamine,0.75
clostridium comment central,0.0
fc epsilon ri ab,0.0
