desc,gpt4
psychological and psychiatric evaluation and therapy,0.75
alcohol and drug rehabilitation/detoxification,0.5
ophthalmologic and otologic diagnosis and treatment,0.0
pathology,0.1
ancillary services,0.2
sexual abstinence duration,0.2
interpretation,0.0
clozapine,0.75
venlafaxine,0.9
dexamethasone,0.1
lithium,0.75
amitriptyline,0.75
character,0.0
temazepam,0.5
suberate,0.0
carbamazepine,0.5
clomipramine,1.0
fluoxetine,1.0
nortriptyline,0.9
trazodone,0.75
imipramine,0.9
ref lab name,0.0
hypochromia,0.0
hypothyroidism,0.2
hypothyroidism nos,0.2
diabetes mellitus,0.2
type 2 diabetes with ketoacidosis,0.1
hypoglycemia,0.2
vitamin deficiency,0.2
hypercholesterolemia,0.0
hypovolemia,0.0
other persistent mental disorders due to conditions classified elsewhere,0.5
neurological disorders,0.5
memory loss,0.5
schizophrenia and other psychotic disorders,0.25
psychosis,0.5
mood disorders,0.9
bipolar,0.75
depression,1.0
major depressive disorder,1.0
suicidal ideation or attempt,0.9
suicidal ideation,0.85
suicide or self-inflicted injury,0.85
"anxiety, phobic and dissociative disorders",0.75
anxiety disorder,0.75
generalized anxiety disorder,0.5
"agorophobia, social phobia, and panic disorder",0.75
obsessive-compulsive disorders,0.5
dysthymic disorder,1.0
acute reaction to stress,0.5
personality disorders,0.5
antisocial/borderline personality disorder,0.5
sexual and gender identity disorders,0.25
adjustment reaction,0.7
eating disorder,0.5
other mental disorder,0.5
pervasive developmental disorders,0.5
attention deficit hyperactivity disorder,0.3
substance addiction and disorders,0.7
alcohol-related disorders,0.5
alcoholism,0.5
tobacco use disorder,0.2
sleep disorders,0.7
insomnia,0.7
organic or persistent insomnia,0.7
chronic pain,0.5
chronic pain syndrome,0.5
disorders of the globe,0.0
other retinal disorders,0.0
other nondiabetic retinopathy,0.0
corneal opacity and other disorders of cornea,0.0
glaucoma,0.0
primary angle-closure glaucoma,0.0
cataract,0.0
senile cataract,0.0
disorders of refraction and accommodation; blindness and low vision,0.0
blindness and low vision,0.2
visual disturbances,0.2
disorders of lacrimal system,0.0
dry eyes,0.2
disorders of optic nerve and visual pathways,0.0
optic neuritis/neuropathy,0.0
other disorders of eye,0.0
angina pectoris,0.0
ill-defined descriptions and complications of heart disease,0.0
hypotension,0.2
asthma,0.0
dependence on respirator [ventilator] or supplemental oxygen,0.1
urinary incontinence,0.2
absent or infrequent menstruation,0.2
irregular menstrual bleeding,0.2
dysmenorrhea,0.2
disturbance of skin sensation,0.1
alopecia,0.1
osteoporosis,0.1
back pain,0.2
contusion,0.0
mirtazapine,0.9
amphetamine / dextroamphetamine,0.25
clonazepam,0.75
lamotrigine,0.75
escitalopram,1.0
paroxetine,1.0
doxepin,0.75
sertraline,1.0
topiramate,0.25
bupropion,0.75
haloperidol,0.25
quetiapine,0.75
hydroxyzine,0.25
naltrexone,0.5
duloxetine,0.75
aripiprazole,0.75
pituitary hypofunction,0.25
anorexia,0.5
lack of normal physiological development,0.3
delayed milestones,0.2
"lack of normal physiological development, unspecified",0.2
neutropenia,0.0
other specified nonpsychotic and/or transient mental disorders,0.5
alteration of consciousness,0.3
altered mental status,0.5
psychogenic and somatoform disorders,0.75
somatoform disorder,0.5
conduct disorders,0.3
tics and stuttering,0.2
autism,0.25
learning disorder,0.25
mental retardation,0.2
coma,0.1
myopia,0.0
strabismus and other disorders of binocular eye movements,0.0
cardiomyopathy,0.1
congestive heart failure (chf) nos,0.0
hypotension nos,0.1
apnea,0.2
decubitus ulcer,0.0
open wound or laceration of eye or eyelid,0.0
risperidone,0.75
guanfacine,0.2
"infestation (lice, mites)",0.0
hypocalcemia,0.1
immunity deficiency,0.2
dementias,0.5
vascular dementia,0.25
hallucinations,0.5
schizophrenia,0.25
paranoid disorders,0.25
posttraumatic stress disorder,0.75
decreased libido,0.7
psychogenic disorder,0.75
mental disorders durring/after pregnancy,0.75
impulse control disorder,0.3
parasomnia,0.3
circadian rhythm sleep disorder,0.5
degeneration of macula and posterior pole of retina,0.0
macular degeneration (senile) of retina nos,0.0
open-angle glaucoma,0.0
diplopia and disorders of binocular vision,0.1
visual field defects,0.1
subjective visual disturbances,0.2
disorders of conjunctiva,0.0
other disorders of eyelids,0.0
ptosis of eyelid,0.0
disorders of vitreous body,0.0
cardiac arrest,0.1
sinoatrial node dysfunction (bradycardia),0.0
lurasidone,0.75
buspirone,0.75
chlorpromazine,0.5
buprenorphine / naloxone,0.25
fluvoxamine,0.9
olanzapine,0.75
prazosin,0.25
phobia,0.5
dissociative disorder,0.5
anorexia nervosa,0.7
retinal vascular changes and abnomalities,0.1
"chorioretinal inflammations, scars, and other disorders of choroid",0.0
chorioretinal scars,0.0
inflammation of the eye,0.0
inflammation of eyelids,0.0
anomalies of pupillary function,0.1
poisoning by psychotropic agents,0.5
tranylcypromine,0.9
desipramine,0.9
disulfiram,0.0
atomoxetine,0.5
paliperidone,0.5
benign neoplasm of eye,0.0
nutritional marasmus,0.1
senile dementia,0.5
progressive myopia,0.0
retinal detachments and defects,0.0
cystoid macular degeneration of retina,0.0
macular puckering of retina,0.0
drusen (degenerative) of retina,0.0
peripheral retinal degenerations,0.0
hereditary retinal dystrophies,0.0
corneal opacity,0.0
corneal degenerations,0.0
corneal dystrophy,0.0
primary open angle glaucoma,0.0
astigmatism,0.0
hypermetropia,0.0
amblyopia,0.0
anisometropia,0.0
ectropion or entropion,0.0
dermatochalasis,0.0
optic atrophy,0.0
strabismus (not specified as paralytic),0.0
disorders of iris and ciliary body,0.0
non-healing surgical wound,0.1
vilazodone,0.9
schizoid personality disorder,0.3
"macular degeneration, dry",0.0
abnormal posture,0.2
congenital anomalies of the eye,0.0
congenital anomalies of posterior segment of eye,0.0
nonsenile cataract,0.0
pseudoexfoliation glaucoma,0.0
traumatic cataract,0.0
congenital cataract and lens anomalies,0.0
tricyclic antidepressants,1.0
norsertraline,0.5
amphetamines,0.25
opiates,0.5
cocaine,0.0
cannabinoids,0.2
norclomipramine,0.75
norfluoxetine,0.0
imipramine+desipramine,0.9
visual aids and other optical supplies,0.0
benzodiazepines,0.5
mask,0.0
supply,0.0
dressing,0.0
pain,0.5
debility unspecified,0.2
pad,0.0
bag,0.0
specimen type,0.0
diarrhea,0.1
adapt,0.0
presbyopia,0.0
tablet,0.0
container,0.0
drain,0.0
resource,0.0
syringe,0.0
lotion,0.0
gentle cream,0.0
cold cream,0.0
amoxapine,0.75
kit,0.0
negative occult control,0.0
protriptyline,0.75
trimipramine,0.9
maprotiline,0.9
syncope,0.2
chart diagnosis,0.0
clinical impression,0.5
comment,0.0
consultant,0.0
device,0.0
diagnosis code,0.0
dimorphism,0.0
dose,0.0
draw and hold,0.0
low-density lipoprotein cholesterol risk interpretation,0.1
medications,0.5
message,0.0
negative control (point of care),0.0
phenotype,0.0
product code,0.0
product identification,0.0
rate,0.0
reason,0.0
released by,0.0
report,0.0
resolution,0.0
result,0.0
see below,0.0
source,0.0
specimen,0.0
stressors,0.75
supernatant,0.0
time low,0.0
titer,0.0
rh,0.0
procedure,0.0
medication prescribed,0.5
class,0.0
nidus,0.0
clinical info,0.0
specimen condition,0.0
specimen container,0.0
symptom,0.0
citation,0.0
laboratory comment,0.0
composition,0.0
levomilnacipran,1.0
naldemedine,0.0
lithium carbonate,0.75
lithium citrate,0.75
carbamazepine free,0.5
clomipramine+norclomipramine,0.9
dorzolamide,0.0
yellow hornet (dolichovespula arenaria) ige,0.0
peanut (arachis hypogaea) native (nara h) 3 ige,0.0
ethyl glucuronide,0.0
congenital anomalies of intestine,0.0
cholesterol,0.0
clotting time,0.0
trametinib,0.0
ceruloplasmin,0.0
igg clearance/albumin clearance,0.0
salmon (salmo salar) ige,0.0
platelets,0.0
frequency of urination and polyuria,0.1
gardnerella vaginalis dna,0.0
tissue transglutaminase igg,0.0
procedures on the urethra,0.0
other therapeutic endocrine procedures,0.1
alpha hydroxyalprazolam,0.0
indinavir,0.0
arsenic,0.0
voltage-gated calcium channel p/q type binding ab,0.1
alprazolam,0.75
late effects of cerebrovascular disease,0.25
dementia with cerebral degenerations,0.5
other physical therapy and rehabilitation,0.2
anastrozole,0.1
coxiella burnetii phase 2 igg,0.0
hydroxyproline,0.0
beta 1 globulin,0.0
