desc,gpt4
type 2 diabetes,1.0
type 2 diabetes with neurological manifestations,1.0
secondary diabetes mellitus,0.75
type 2 diabetes with renal manifestations,1.0
diabetes mellitus,0.9
diabetes status,0.75
type 2 diabetes with ophthalmic manifestations,1.0
diabetes type 2 with peripheral circulatory disorders,1.0
type 1 diabetes,0.2
type 2 diabetes with ketoacidosis,1.0
hiv 2 ab,0.0
diabetes insipidus,0.0
twocal,0.0
igg subclass 2,0.1
diabetisource,0.0
isolate 2,0.0
cv2 ab,0.0
iga subclass 2,0.1
insulin antibody,0.5
hla-dq2,0.1
interleukin 2 receptor,0.1
diabetic retinopathy,0.85
component 2,0.0
insulin,0.75
insulin ab,0.75
time 2,0.0
mi-2 ab,0.0
complement c2,0.1
insulin degludec,0.75
glucose,0.75
hypoglycemia,0.75
date of second test,0.0
glucose / potassium chloride,0.5
2 hour postprandial blood glucose,0.75
order comment 2,0.0
glucerna,0.0
canagliflozin,1.0
dapagliflozin,1.0
insulin coverage glucose,0.75
isotype 2 percentage,0.0
abnormal glucose,0.75
neuronal nuclear type 2 ab,0.0
insulin free,0.75
antibody identification number 2,0.0
urine ketone two hour,0.5
invert sugar,0.0
insulin soluble,0.75
glucose intracellular,0.5
insulin lispro,0.75
alpha 2 globulin,0.1
beta 2 globulin,0.1
2-hydroxyglutarate,0.1
two additional markers reflex,0.25
insulin isophane,0.75
urinary glucose,0.75
oligosaccharides,0.0
cv2 igg,0.0
hiv 2 ab signal/cutoff,0.0
dulaglutide,1.0
diagnosis code,0.0
glucose test,0.75
glucose corrected index,0.75
glucose control,0.75
insulin detemir,0.75
glucose sensor,0.75
beta 2-glycoprotein,0.1
urine glucose qualitative,0.75
fasting glucose,0.75
lactate dehydrogenase 2/lactate dehydrogenase.total,0.1
marrow comment 2,0.0
type 1 diabetes with neurological manifestations,0.2
dextrose/sodium chloride,0.1
insulin pump user,0.75
calculated average glucose,0.85
adenovirus,0.0
other abnormal glucose,0.75
impaired fasting glucose,0.75
dimethyl fumarate,0.1
dacrocytes,0.0
unit 2 compatibility,0.0
igd,0.0
adipate/creatinine,0.1
amylase,0.2
estimated average glucose,0.85
dna double strand,0.0
proinsulin,0.75
aldolase,0.1
eating disorder,0.1
molecular class one and two typing,0.0
second degree av block,0.1
m2 spike percentage,0.0
capillary blood glucose,0.75
glucose/ketone test,0.75
urine glucose test,0.75
adenovirus ab,0.0
glucose peripheral blood,0.75
diabetes or abnormal glucose tolerance complicating pregnancy,0.75
"gtt, 2 hour (group:2hrgtt)",0.75
mean blood glucose concentration,0.85
hyperglyceridemia,0.6
glucose tolerance reference range,0.75
calculated mean glucose,0.75
type 1 diabetes with ophthalmic manifestations,0.2
estimated mean blood glucose,0.75
secondary hypothyroidism,0.1
procalcitonin study day 2,0.0
accu-chek blood glucose test,0.75
celiac disease,0.2
glucose tolerance 50 gram screen,0.75
type 1 diabetes with ketoacidosis,0.2
occult blood test date #2,0.1
occult blood test type ii,0.1
occult blood card test #2,0.1
occult blood test day 2,0.1
daily mean blood glucose concentration,0.75
morbid obesity,0.6
type 1 diabetes with renal manifestations,0.2
beta-2 globulin concentration,0.1
iddm patient ql,0.0
glycated hemoglobin a1c,0.9
major depressive disorder,0.1
pancreatic cancer,0.2
obesity,0.7
polyneuropathy in diabetes,1.0
occult blood screening day 2,0.1
occult blood test (feces) #2,0.05
occult blood guaiac high sensitivity test #2,0.1
screen for occult blood test #2,0.1
therapeutic drug monitoring studies,0.2
fecal occult blood test #2,0.05
"glucose, jackson-pratt drainage",0.1
beta-2 globulin fraction concentration,0.1
occult blood test #2,0.1
deprecated mean glucose bld ghb est-acnc,0.75
disorders of carbohydrate transport and metabolism,0.75
acquired hypothyroidism,0.1
alpha-2 globulin concentration,0.1
serum glucose,0.75
chronic pancreatitis,0.4
basal (resting) blood glucose level,0.75
graves' disease,0.1
metformin,0.95
insulins and antidiabetic agents causing adverse effects in therapeutic use,0.75
colorectal cancer screening card test #2,0.0
dysthymic disorder,0.0
"insulin, regular, human",0.75
hemoglobin a1c,0.95
streptozocin,0.1
normalized blood glucose magnesium,0.5
deprecated glucose serpl-mcnc,0.75
immunological fecal occult blood test 2,0.1
diseases of pancreas,0.5
alpha-2 globulin concentration in serum protein electrophoresis,0.1
mobitz ii av block,0.1
fecal occult blood card test 2,0.1
glycated hemoglobin a1c as a percentage of total hemoglobin,0.95
"occult blood, stool test #2",0.1
essential hypertension,0.2
acarbose,0.95
open-angle glaucoma,0.25
glipizide,0.95
hypertension,0.25
glyburide,0.95
hyperlipidemia,0.5
disorders of lipoid metabolism,0.5
hemoglobin a1c/hemoglobin.total,0.9
somatotropin,0.25
albumin/creatinine,0.75
corns and callosities,0.2
chronic ulcer of leg or foot,0.65
sitagliptin,0.95
albumin,0.5
empagliflozin,0.95
"diseases of nail, nos",0.1
pioglitazone,0.95
"peripheral vascular disease, unspecified",0.5
lisinopril,0.5
glimepiride,0.95
atorvastatin,0.2
hypercholesterolemia,0.4
peripheral angiopathy in diseases classified elsewhere,0.75
glucose (poc) (group:glu-poc),0.75
"overweight, obesity and other hyperalimentation",0.5
mixed hyperlipidemia,0.5
peripheral vascular disease,0.5
"chronic kidney disease, stage iii",0.5
isopropyl alcohol,0.05
hypertensive heart and/or renal disease,0.3
rosiglitazone,0.95
ingrowing nail,0.1
isosorbide mononitrate,0.1
chronic ulcer of skin,0.4
rosuvastatin,0.2
liraglutide,0.95
amlodipine,0.1
cephradine,0.0
atherosclerosis of the extremities,0.6
arthropathy associated with neurological disorders,0.2
exenatide,0.95
"cellulitis and abscess of foot, toe",0.4
losartan,0.5
carvedilol,0.1
cellulitis and abscess of fingers/toes,0.2
atherosclerosis of native arteries of the extremities with ulceration or gangrene,0.75
hypertensive chronic kidney disease,0.4
repaglinide,0.95
"chronic kidney disease, stage iv",0.5
atherosclerosis,0.6
fructosamine,0.75
cascara sagrada,0.1
simvastatin,0.2
ascvd,0.5
chlorambucil,0.0
other forms of chronic heart disease,0.2
coronary atherosclerosis,0.5
aspirin,0.2
fenofibrate,0.5
diabetes type 1 with peripheral circulatory disorders,0.0
chronic renal failure [ckd],0.5
open wound of toe(s),0.2
proteinuria,0.65
clopidogrel,0.2
glyburide / metformin,0.95
sleep apnea,0.25
ischemic heart disease,0.4
gangrene,0.5
irbesartan,0.5
starch,0.0
ethinyl estradiol / ethynodiol,0.1
hydrochlorothiazide,0.25
obstructive sleep apnea,0.3
amputation of lower extremity,0.5
dermatophytosis of nail,0.1
althete's foot,0.1
open wound of foot except toe(s) alone,0.3
acute osteomyelitis,0.25
dermatophytosis,0.1
lancet,0.5
needle/syringe,0.5
destruction of lesion of retina and choroid,0.25
retinal edema,0.7
microalbumin spot,0.75
dermatophytosis / dermatomycosis,0.1
microalbumin/creatinine ratio,0.75
ophthalmologic and otologic diagnosis and treatment,0.25
cataract,0.5
c-peptide,0.75
needle,0.1
other non-or therapeutic procedures on skin and breast,0.1
other nondiabetic retinopathy,0.0
"reservoir,minimed",0.75
senile cataract,0.2
low density lipoprotein cholesterol,0.4
high density lipoprotein cholesterol,0.25
arthropathy associated with other disorders classified elsewhere,0.5
macular puckering of retina,0.4
glaucoma,0.25
other retinal disorders,0.5
infusion set,0.5
cystoid macular degeneration of retina,0.4
prophylactic vaccinations and inoculations,0.1
triglycerides,0.6
glucagon,0.5
chronic venous insufficiency [cvi],0.2
"keratoderma, acquired",0.1
erectile dysfunction [ed],0.5
