desc,gpt4
diagnostic ultrasound of heart (echocardiogram),0.75
cardiac stress tests,0.5
electrographic cardiac monitoring,0.5
swan-ganz catheterization for monitoring,0.75
conversion of cardiac rhythm,0.3
home health services,0.2
heart valve procedures,0.6
"diagnostic cardiac catheterization, coronary arteriography",0.5
"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0.75
other or heart procedures,0.5
"other vascular catheterization, not heart",0.1
hemodialysis,0.25
other diagnostic cardiovascular procedures,0.5
other non-or therapeutic cardiovascular procedures,0.5
digoxin,0.75
hematocrit,0.2
oxyhemoglobin/hemoglobin.total,0.1
carnitine free (c0),0.0
dopamine,0.0
epinephrine,0.1
natriuretic peptide b,0.75
natriuretic peptide.b prohormone n-terminal,0.75
troponin t.cardiac,0.5
free hemoglobin,0.1
sickle cells,0.1
crp (mg/l) (group:crpt),0.2
hypovolemia,0.2
coagulation defects,0.2
encounter for long-term (current) use of anticoagulants,0.25
chronic pain,0.1
complex regional/central pain syndrome,0.0
chronic pain syndrome,0.1
rheumatic disease of the heart valves,0.5
mitral valve stenosis and aortic valve stenosis,0.75
disease of tricuspid valve,0.6
heart valve disorders,0.6
nonrheumatic mitral valve disorders,0.5
nonrheumatic aortic valve disorders,0.5
heart valve replaced,0.5
hypertension,0.5
hypertensive heart and/or renal disease,0.75
hypertensive heart disease,0.75
ischemic heart disease,0.75
myocardial infarction,0.75
angina pectoris,0.4
coronary atherosclerosis,0.75
"other chronic ischemic heart disease, unspecified",0.75
other forms of chronic heart disease,0.75
ascvd,0.75
pulmonary heart disease,0.6
acute pulmonary heart disease,0.6
cardiomegaly,0.7
nonspecific chest pain,0.3
cardiac conduction disorders,0.5
atrioventricular [av] block,0.25
abnormal electrocardiogram [ecg] [ekg],0.5
cardiac dysrhythmias,0.5
"paroxysmal tachycardia, unspecified",0.5
paroxysmal supraventricular tachycardia,0.35
paroxysmal ventricular tachycardia,0.6
atrial fibrillation and flutter,0.5
atrial fibrillation,0.5
atrial flutter,0.5
other specified cardiac dysrhythmias,0.5
arrhythmia (cardiac) nos,0.5
premature beats,0.3
tachycardia nos,0.5
palpitations,0.3
congestive heart failure; nonhypertensive,1.0
heart failure with reduced ef [systolic or combined heart failure],0.9
heart failure with preserved ef [diastolic heart failure],0.75
ill-defined descriptions and complications of heart disease,0.7
heart transplant/surgery,0.75
chronic venous insufficiency [cvi],0.2
other disorders of circulatory system,0.5
chronic airway obstruction,0.2
pulmonary congestion and hypostasis,0.75
pulmonary collapse; interstitial and compensatory emphysema,0.2
respiratory failure,0.4
dependence on respirator [ventilator] or supplemental oxygen,0.6
shortness of breath,0.7
cough,0.2
other dyspnea,0.5
functional digestive disorders,0.0
chronic liver disease and cirrhosis,0.2
gastrointestinal hemorrhage,0.1
renal failure,0.35
chronic renal failure [ckd],0.35
"chronic kidney disease, stage iii",0.25
cardiac and circulatory congenital anomalies,0.25
cardiac congenital anomalies,0.2
cardiac shunt/ heart septal defect,0.5
valvular heart disease/ heart chambers,0.6
congenital anomalies of great vessels,0.2
symptoms involving skin and other integumentary tissue,0.1
edema,0.5
syncope and collapse,0.3
shock,0.25
cardiogenic shock,0.75
malaise and fatigue,0.3
chronic fatigue syndrome,0.1
verapamil,0.0
warfarin,0.25
diltiazem,0.75
flecainide,0.0
furosemide,0.75
nitroglycerin,0.5
milrinone,0.75
hydralazine,0.75
metoprolol,0.75
sotalol,0.0
spironolactone,0.75
hct (bg) (group:hct bg),0.1
fluid overload,0.75
anemia of chronic disease,0.25
coma,0.1
nonrheumatic pulmonary valve disorders,0.2
other hypertensive complications,0.5
carditis,0.5
endocarditis,0.25
cardiomyopathy,0.75
primary/intrinsic cardiomyopathies,0.75
bundle branch block,0.5
right bundle branch block,0.3
congestive heart failure (chf) nos,1.0
